[2016-02-24 23:48:26,158] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-25 21:03:05,072] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-25 22:14:39,254] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 01:56:39,928] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 01:57:02,192] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 01:57:25,988] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 01:57:51,227] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 01:59:31,970] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 01:59:44,871] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:00:02,715] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:00:30,259] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:01:07,533] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:01:24,098] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:02:11,900] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:02:54,085] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:03:54,864] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:04:22,759] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:04:37,123] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:05:01,991] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 02:05:10,576] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 16:38:59,091] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 16:38:59,128] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:38:59,129] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:38:59,129] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 16:38:59,140] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
[2016-02-28 16:38:59,140] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
